term_id,concept,category,language,term,notes
prophet_isaiah_h,Isaiah,biblical_prophets,hebrew,ישעיהו,major prophet cohort
prophet_isaiah_g,Isaiah,biblical_prophets,greek,ησαιας,major prophet cohort
prophet_jeremiah_h,Jeremiah,biblical_prophets,hebrew,ירמיהו,major prophet cohort
prophet_jeremiah_g,Jeremiah,biblical_prophets,greek,ιερεμιας,major prophet cohort
prophet_ezekiel_h,Ezekiel,biblical_prophets,hebrew,יחזקאל,major prophet cohort
prophet_ezekiel_g,Ezekiel,biblical_prophets,greek,ιεζεκιηλ,major prophet cohort
prophet_daniel_h,Daniel,biblical_prophets,hebrew,דניאל,major prophet cohort
prophet_daniel_g,Daniel,biblical_prophets,greek,δανιηλ,major prophet cohort
prophet_hosea_h,Hosea,biblical_prophets,hebrew,הושע,minor prophet cohort
prophet_hosea_g,Hosea,biblical_prophets,greek,ωσηε,minor prophet cohort
prophet_joel_h,Joel,biblical_prophets,hebrew,יואל,minor prophet cohort
prophet_joel_g,Joel,biblical_prophets,greek,ιωηλ,minor prophet cohort
prophet_amos_h,Amos,biblical_prophets,hebrew,עמוס,minor prophet cohort
prophet_amos_g,Amos,biblical_prophets,greek,αμως,minor prophet cohort
prophet_obadiah_h,Obadiah,biblical_prophets,hebrew,עבדיה,minor prophet cohort
prophet_obadiah_g,Obadiah,biblical_prophets,greek,αβδιου,Greek Abdias/Obadiah form
prophet_jonah_h,Jonah,biblical_prophets,hebrew,יונה,minor prophet cohort
prophet_jonah_g,Jonah,biblical_prophets,greek,ιωνας,minor prophet cohort
prophet_micah_h,Micah,biblical_prophets,hebrew,מיכה,minor prophet cohort
prophet_micah_g,Micah,biblical_prophets,greek,μιχαιας,minor prophet cohort
prophet_nahum_h,Nahum,biblical_prophets,hebrew,נחום,minor prophet cohort
prophet_nahum_g,Nahum,biblical_prophets,greek,ναουμ,minor prophet cohort
prophet_habakkuk_h,Habakkuk,biblical_prophets,hebrew,חבקוק,minor prophet cohort
prophet_habakkuk_g,Habakkuk,biblical_prophets,greek,αμβακουμ,minor prophet cohort
prophet_zephaniah_h,Zephaniah,biblical_prophets,hebrew,צפניה,minor prophet cohort
prophet_zephaniah_g,Zephaniah,biblical_prophets,greek,σοφονιας,minor prophet cohort
prophet_haggai_h,Haggai,biblical_prophets,hebrew,חגי,minor prophet cohort
prophet_haggai_g,Haggai,biblical_prophets,greek,αγγαιος,minor prophet cohort
prophet_zechariah_h,Zechariah,biblical_prophets,hebrew,זכריה,minor prophet cohort
prophet_zechariah_g,Zechariah,biblical_prophets,greek,ζαχαριας,minor prophet cohort
prophet_malachi_h,Malachi,biblical_prophets,hebrew,מלאכי,minor prophet cohort
prophet_malachi_g,Malachi,biblical_prophets,greek,μαλαχιας,minor prophet cohort
