term_id,concept,category,language,term,notes
user_jesus_h,Jesus/Yeshua,gospel_core_names,hebrew,ישוע,user requested 2026-05-21 before result-producing prospective run
user_christ_messiah_h,Christ/Messiah,gospel_core_names,hebrew,משיח,user requested 2026-05-21 before result-producing prospective run
user_mary_h,Mary,gospel_women,hebrew,מרים,user requested 2026-05-21 before result-producing prospective run
user_mary_magdalene_h,Mary Magdalene,gospel_women,hebrew,מרים מגדלית,user requested 2026-05-21 before result-producing prospective run
user_martha_h,Martha,gospel_women,hebrew,מרתא,user requested 2026-05-21 before result-producing prospective run
user_elizabeth_h,Elizabeth,gospel_women,hebrew,אלישבע,user requested 2026-05-21 before result-producing prospective run
user_anna_h,Anna/Hannah,gospel_women,hebrew,חנה,user requested 2026-05-21 before result-producing prospective run
user_joanna_h,Joanna,gospel_women,hebrew,יוחנה,user requested 2026-05-21 before result-producing prospective run
user_susanna_h,Susanna,gospel_women,hebrew,שושנה,user requested 2026-05-21 before result-producing prospective run
user_salome_h,Salome,gospel_women,hebrew,שלומית,user requested 2026-05-21 before result-producing prospective run
user_tamar_h,Tamar,christ_genealogy,hebrew,תמר,user requested 2026-05-21 before result-producing prospective run
user_rahab_h,Rahab,christ_genealogy,hebrew,רחב,user requested 2026-05-21 before result-producing prospective run
user_ruth_h,Ruth,christ_genealogy,hebrew,רות,user requested 2026-05-21 before result-producing prospective run
user_bathsheba_h,Bathsheba,christ_genealogy,hebrew,בת שבע,user requested 2026-05-21 before result-producing prospective run
user_joseph_h,Joseph husband of Mary / Joseph of Arimathea,christ_genealogy,hebrew,יוסף,user requested 2026-05-21 before result-producing prospective run
user_abraham_h,Abraham,christ_genealogy,hebrew,אברהם,user requested 2026-05-21 before result-producing prospective run
user_isaac_h,Isaac,christ_genealogy,hebrew,יצחק,user requested 2026-05-21 before result-producing prospective run
user_jacob_h,Jacob/James,christ_genealogy,hebrew,יעקב,user requested 2026-05-21 before result-producing prospective run
user_judah_h,Judah,christ_genealogy,hebrew,יהודה,user requested 2026-05-21 before result-producing prospective run
user_perez_h,Perez,christ_genealogy,hebrew,פרץ,user requested 2026-05-21 before result-producing prospective run
user_hezron_h,Hezron,christ_genealogy,hebrew,חצרון,user requested 2026-05-21 before result-producing prospective run
user_ram_h,Ram,christ_genealogy,hebrew,רם,user requested 2026-05-21 before result-producing prospective run
user_amminadab_h,Amminadab,christ_genealogy,hebrew,עמינדב,user requested 2026-05-21 before result-producing prospective run
user_nahshon_h,Nahshon,christ_genealogy,hebrew,נחשון,user requested 2026-05-21 before result-producing prospective run
user_salmon_h,Salmon,christ_genealogy,hebrew,שלמון,user requested 2026-05-21 before result-producing prospective run
user_boaz_h,Boaz,christ_genealogy,hebrew,בעז,user requested 2026-05-21 before result-producing prospective run
user_obed_h,Obed,christ_genealogy,hebrew,עובד,user requested 2026-05-21 before result-producing prospective run
user_jesse_h,Jesse,christ_genealogy,hebrew,ישי,user requested 2026-05-21 before result-producing prospective run
user_david_h,David,christ_genealogy,hebrew,דוד,user requested 2026-05-21 before result-producing prospective run
user_solomon_h,Solomon,christ_genealogy,hebrew,שלמה,user requested 2026-05-21 before result-producing prospective run
user_rehoboam_h,Rehoboam,christ_genealogy,hebrew,רחבעם,user requested 2026-05-21 before result-producing prospective run
user_abijah_h,Abijah,christ_genealogy,hebrew,אביה,user requested 2026-05-21 before result-producing prospective run
user_asa_h,Asa,christ_genealogy,hebrew,אסא,user requested 2026-05-21 before result-producing prospective run
user_jehoshaphat_h,Jehoshaphat,christ_genealogy,hebrew,יהושפט,user requested 2026-05-21 before result-producing prospective run
user_joram_h,Joram,christ_genealogy,hebrew,יורם,user requested 2026-05-21 before result-producing prospective run
