term_id,concept,category,language,term,notes
user_elizabeth_h,Elizabeth,gospel_women,hebrew,אלישבע,user requested 2026-05-21 before result-producing prospective run
user_joanna_h,Joanna,gospel_women,hebrew,יוחנה,user requested 2026-05-21 before result-producing prospective run
user_susanna_h,Susanna,gospel_women,hebrew,שושנה,user requested 2026-05-21 before result-producing prospective run
user_bathsheba_h,Bathsheba,christ_genealogy,hebrew,בת שבע,user requested 2026-05-21 before result-producing prospective run
user_judah_h,Judah,christ_genealogy,hebrew,יהודה,user requested 2026-05-21 before result-producing prospective run
user_hezron_h,Hezron,christ_genealogy,hebrew,חצרון,user requested 2026-05-21 before result-producing prospective run
user_amminadab_h,Amminadab,christ_genealogy,hebrew,עמינדב,user requested 2026-05-21 before result-producing prospective run
user_nahshon_h,Nahshon,christ_genealogy,hebrew,נחשון,user requested 2026-05-21 before result-producing prospective run
user_salmon_h,Salmon,christ_genealogy,hebrew,שלמון,user requested 2026-05-21 before result-producing prospective run
user_rehoboam_h,Rehoboam,christ_genealogy,hebrew,רחבעם,user requested 2026-05-21 before result-producing prospective run
user_jehoshaphat_h,Jehoshaphat,christ_genealogy,hebrew,יהושפט,user requested 2026-05-21 before result-producing prospective run
user_jeconiah_h,Jeconiah,christ_genealogy,hebrew,יכניה,user requested 2026-05-21 before result-producing prospective run
user_shealtiel_h,Shealtiel,christ_genealogy,hebrew,שאלתיאל,user requested 2026-05-21 before result-producing prospective run
user_zerubbabel_h,Zerubbabel,christ_genealogy,hebrew,זרובבל,user requested 2026-05-21 before result-producing prospective run
user_eliakim_h,Eliakim,christ_genealogy,hebrew,אליקים,user requested 2026-05-21 before result-producing prospective run
user_eleazar_h,Eleazar/Lazarus,christ_genealogy,hebrew,אלעזר,user requested 2026-05-21 before result-producing prospective run
user_zachariah_h,Zachariah,gospel_people,hebrew,זכריה,user requested 2026-05-21 before result-producing prospective run
user_simeon_h,Simeon,gospel_people,hebrew,שמעון,user requested 2026-05-21 before result-producing prospective run
user_nicodemus_h,Nicodemus,gospel_people,hebrew,נקדימון,user requested 2026-05-21 before result-producing prospective run
user_pilate_h,Pilate,gospel_people,hebrew,פילטוס,user requested 2026-05-21 before result-producing prospective run
user_barabbas_h,Barabbas,gospel_people,hebrew,בר אבא,user requested 2026-05-21 before result-producing prospective run
user_simon_cyrene_h,Simon of Cyrene,gospel_people,hebrew,שמעון הקירני,user requested 2026-05-21 before result-producing prospective run
user_cleopas_h,Cleopas,gospel_people,hebrew,קלופס,user requested 2026-05-21 before result-producing prospective run
user_andrew_h,Andrew,disciples,hebrew,אנדרי,user requested 2026-05-21 before result-producing prospective run
user_bartholomew_h,Bartholomew,disciples,hebrew,ברתולמי,user requested 2026-05-21 before result-producing prospective run
user_matthew_h,Matthew,disciples,hebrew,מתתיה,user requested 2026-05-21 before result-producing prospective run
user_judas_iscariot_h,Judas Iscariot,disciples,hebrew,יהודה איש קריות,user requested 2026-05-21 before result-producing prospective run
