term_id,concept,category,language,term,notes
god_gxc,God,divine_names,greek,θεος,locked Greek exact-center cohort
lord_gxc,Lord,divine_names,greek,κυριος,locked Greek exact-center cohort
jesus_gxc,Jesus,christology,greek,ιησους,locked Greek exact-center cohort
christ_gxc,Christ,christology,greek,χριστος,locked Greek exact-center cohort
messiah_gxc,Messiah,christology,greek,μεσσιας,locked Greek exact-center cohort
son_gxc,Son,christology,greek,υιος,locked Greek exact-center cohort
son_of_god_gxc,Son Of God,christology,greek,υιοςθεου,locked Greek exact-center cohort
lamb_gxc,Lamb,christology,greek,αμνος,locked Greek exact-center cohort
cross_gxc,Cross,christology,greek,σταυρος,locked Greek exact-center cohort
resurrection_gxc,Resurrection,christology,greek,αναστασις,locked Greek exact-center cohort
coming_gxc,Coming,christology,greek,παρουσια,locked Greek exact-center cohort
savior_gxc,Savior,soteriology,greek,σωτηρ,locked Greek exact-center cohort
salvation_gxc,Salvation,soteriology,greek,σωτηρια,locked Greek exact-center cohort
faith_gxc,Faith,soteriology,greek,πιστις,locked Greek exact-center cohort
grace_gxc,Grace,soteriology,greek,χαρις,locked Greek exact-center cohort
peace_gxc,Peace,soteriology,greek,ειρηνη,locked Greek exact-center cohort
love_gxc,Love,soteriology,greek,αγαπη,locked Greek exact-center cohort
sin_gxc,Sin,soteriology,greek,αμαρτια,locked Greek exact-center cohort
death_gxc,Death,soteriology,greek,θανατος,locked Greek exact-center cohort
blood_gxc,Blood,soteriology,greek,αιμα,locked Greek exact-center cohort
spirit_gxc,Spirit,pneumatology,greek,πνευμα,locked Greek exact-center cohort
holy_gxc,Holy,pneumatology,greek,αγιος,locked Greek exact-center cohort
word_gxc,Word,revelation,greek,λογος,locked Greek exact-center cohort
truth_gxc,Truth,revelation,greek,αληθεια,locked Greek exact-center cohort
revelation_gxc,Revelation,revelation,greek,αποκαλυψις,locked Greek exact-center cohort
judgment_gxc,Judgment,revelation,greek,κρισις,locked Greek exact-center cohort
prophet_gxc,Prophet,revelation,greek,προφητης,locked Greek exact-center cohort
gospel_gxc,Gospel,revelation,greek,ευαγγελιον,locked Greek exact-center cohort
glory_gxc,Glory,attributes,greek,δοξα,locked Greek exact-center cohort
wisdom_gxc,Wisdom,attributes,greek,σοφια,locked Greek exact-center cohort
mercy_gxc,Mercy,attributes,greek,ελεος,locked Greek exact-center cohort
heaven_gxc,Heaven,cosmology,greek,ουρανος,locked Greek exact-center cohort
hades_gxc,Hades,cosmology,greek,αδης,locked Greek exact-center cohort
gehenna_gxc,Gehenna,cosmology,greek,γεεννα,locked Greek exact-center cohort
kingdom_gxc,Kingdom,kingdom,greek,βασιλεια,locked Greek exact-center cohort
king_gxc,King,kingdom,greek,βασιλευς,locked Greek exact-center cohort
temple_gxc,Temple,worship,greek,ναος,locked Greek exact-center cohort
priest_gxc,Priest,worship,greek,ιερευς,locked Greek exact-center cohort
sacrifice_gxc,Sacrifice,worship,greek,θυσια,locked Greek exact-center cohort
satan_gxc,Satan,evil,greek,σατανας,locked Greek exact-center cohort
devil_gxc,Devil,evil,greek,διαβολος,locked Greek exact-center cohort
beast_gxc,Beast,apocalyptic,greek,θηριον,locked Greek exact-center cohort
dragon_gxc,Dragon,apocalyptic,greek,δρακων,locked Greek exact-center cohort
seal_gxc,Seal,apocalyptic,greek,σφραγις,locked Greek exact-center cohort
