term_id,concept,category,language,term,notes
glex_g00002,"Aaron, the brother of Moses",strongs_greek_semitic_origin,greek,Ἀαρών,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00002; translit=Aarṓn; beta=*)AARW/N
glex_g00003,a destroying angel,strongs_greek_semitic_origin,greek,Ἀβαδδών,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00003; translit=Abaddṓn; beta=*)ABADDW/N
glex_g00004,"weightless, i.e. (figuratively) not burdensome",strongs_greek_lexicon,greek,ἀβαρής,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00004; translit=abarḗs; beta=A)BARH/S
glex_g00008,"Abiathar, an Israelite",strongs_greek_semitic_origin,greek,Ἀβιαθάρ,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00008; translit=Abiathár; beta=*)ABIAQA/R
glex_g00009,"Abilene, a region of Syria",strongs_greek_lexicon,greek,Ἀβιληνή,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00009; translit=Abilēnḗ; beta=*)ABILHNH/
glex_g00010,"Abihud, an Israelite",strongs_greek_semitic_origin,greek,Ἀβιούδ,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00010; translit=Abioúd; beta=*)ABIOU/D
glex_g00011,"Abraham, the Hebrew patriarch",strongs_greek_semitic_origin,greek,Ἀβραάμ,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00011; translit=Abraám; beta=*)ABRAA/M
glex_g00012,"depthless, i.e. (specially) (infernal) ""abyss""",strongs_greek_lexicon,greek,ἄβυσσος,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00012; translit=ábyssos; beta=A)/BUSSOS
glex_g00013,"Agabus, an Israelite",strongs_greek_semitic_origin,greek,Ἄγαβος,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00013; translit=Ágabos; beta=*)/AGABOS
glex_g00014,to work good,strongs_greek_lexicon,greek,ἀγαθοεργέω,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00014; translit=agathoergéō; beta=A)GAQOERGE/W
glex_g00015,to be a well-doer (as a favor or a duty),strongs_greek_lexicon,greek,ἀγαθοποιέω,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00015; translit=agathopoiéō; beta=A)GAQOPOIE/W
glex_g00016,"well-doing, i.e. virtue",strongs_greek_lexicon,greek,ἀγαθοποιΐα,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00016; translit=agathopoiḯa; beta=A)GAQOPOII/+A
glex_g00017,"a well-doer, i.e. virtuous",strongs_greek_lexicon,greek,ἀγαθοποιός,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00017; translit=agathopoiós; beta=A)GAQOPOIO/S
glex_g00018,"""good"" (in any sense, often as noun)",strongs_greek_lexicon,greek,ἀγαθός,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00018; translit=agathós; beta=A)GAQO/S
glex_g00019,"goodness, i.e. virtue or beneficence",strongs_greek_lexicon,greek,ἀγαθωσύνη,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00019; translit=agathōsýnē; beta=A)GAQWSU/NH
glex_g00020,"exultation; specially, welcome",strongs_greek_lexicon,greek,ἀγαλλίασις,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00020; translit=agallíasis; beta=A)GALLI/ASIS
glex_g00021,"properly, to jump for joy, i.e. exult",strongs_greek_lexicon,greek,ἀγαλλιάω,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00021; translit=agalliáō; beta=A)GALLIA/W
glex_g00022,unmarried,strongs_greek_lexicon,greek,ἄγαμος,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00022; translit=ágamos; beta=A)/GAMOS
glex_g00023,"to be greatly afflicted, i.e. (figuratively) indignant",strongs_greek_lexicon,greek,ἀγανακτέω,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00023; translit=aganaktéō; beta=A)GANAKTE/W
glex_g00024,indignation,strongs_greek_lexicon,greek,ἀγανάκτησις,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00024; translit=aganáktēsis; beta=A)GANA/KTHSIS
glex_g00025,to love (in a social or moral sense),strongs_greek_lexicon,greek,ἀγαπάω,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00025; translit=agapáō; beta=A)GAPA/W
glex_g00026,"love, i.e. affection or benevolence; specially (plural) a love-feast",strongs_greek_lexicon,greek,ἀγάπη,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00026; translit=agápē; beta=A)GA/PH
glex_g00027,beloved,strongs_greek_lexicon,greek,ἀγαπητός,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00027; translit=agapētós; beta=A)GAPHTO/S
glex_g00029,"properly, to be a courier, i.e. (by implication) to press into public service",strongs_greek_lexicon,greek,ἀγγαρεύω,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00029; translit=angareúō; beta=A)GGAREU/W
glex_g00030,a receptacle,strongs_greek_lexicon,greek,ἀγγεῖον,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00030; translit=angeîon; beta=A)GGEI=ON
glex_g00031,"an announcement, i.e. (by implication) precept",strongs_greek_lexicon,greek,ἀγγελία,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00031; translit=angelía; beta=A)GGELI/A
glex_g00032,"compare ) (to bring tidings); a messenger; especially an ""angel""; by implication, a pastor",strongs_greek_lexicon,greek,ἄγγελος,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00032; translit=ángelos; beta=A)/GGELOS
glex_g00034,a drove,strongs_greek_lexicon,greek,ἀγέλη,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00034; translit=agélē; beta=A)GE/LH
glex_g00035,unregistered as to birth,strongs_greek_lexicon,greek,ἀγενεαλόγητος,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00035; translit=agenealógētos; beta=A)GENEALO/GHTOS
glex_g00036,"properly, without kin, i.e. (of unknown descent, and by implication) ignoble",strongs_greek_lexicon,greek,ἀγενής,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00036; translit=agenḗs; beta=A)GENH/S
glex_g00037,"to make holy, i.e. (ceremonially) purify or consecrate; (mentally) to venerate",strongs_greek_lexicon,greek,ἁγιάζω,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00037; translit=hagiázō; beta=A(GIA/ZW
glex_g00038,"properly, purification, i.e. (the state) purity; concretely (by Hebraism) a purifier",strongs_greek_lexicon,greek,ἁγιασμός,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00038; translit=hagiasmós; beta=A(GIASMO/S
glex_g00039,a sacred thing (i.e. spot),strongs_greek_lexicon,greek,ἅγιον,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00039; translit=hágion; beta=A(/GION
glex_g00040,"sacred (physically, pure, morally blameless or religious, ceremonially, consecrated)",strongs_greek_lexicon,greek,ἅγιος,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00040; translit=hágios; beta=A(/GIOS
glex_g00041,"sanctity (i.e. properly, the state)",strongs_greek_lexicon,greek,ἁγιότης,source=morphgnt/strongs-dictionary-xml; license=CC0-1.0; source_url=https://github.com/morphgnt/strongs-dictionary-xml; registered_before_result_producing_run=true; strong_ids=G00041; translit=hagiótēs; beta=A(GIO/THS
