term_id,concept,category,language,term,notes
user_jesus_g,Jesus,gospel_core_names,greek,Ἰησοῦς,user requested 2026-05-21 before result-producing prospective run
user_mary_mother_g,Mary mother of Jesus / Mary of Bethany,gospel_women,greek,Μαρία,user requested 2026-05-21 before result-producing prospective run
user_mary_magdalene_g,Mary Magdalene,gospel_women,greek,Μαρία Μαγδαληνή,user requested 2026-05-21 before result-producing prospective run
user_mary_of_clopas_g,Mary of Clopas,gospel_women,greek,Μαρία Κλωπᾶ,user requested 2026-05-21 before result-producing prospective run
user_martha_g,Martha,gospel_women,greek,Μάρθα,user requested 2026-05-21 before result-producing prospective run
user_elizabeth_g,Elizabeth,gospel_women,greek,Ἐλισάβετ,user requested 2026-05-21 before result-producing prospective run
user_anna_prophetess_g,Anna prophetess,gospel_women,greek,Ἄννα,user requested 2026-05-21 before result-producing prospective run
user_joanna_g,Joanna,gospel_women,greek,Ἰωάννα,user requested 2026-05-21 before result-producing prospective run
user_susanna_g,Susanna,gospel_women,greek,Σουσάννα,user requested 2026-05-21 before result-producing prospective run
user_salome_g,Salome,gospel_women,greek,Σαλώμη,user requested 2026-05-21 before result-producing prospective run
user_herodias_g,Herodias,gospel_women,greek,Ἡρῳδιάς,user requested 2026-05-21 before result-producing prospective run
user_tamar_g,Tamar,christ_genealogy,greek,Θάμαρ,user requested 2026-05-21 before result-producing prospective run
user_rahab_g,Rahab,christ_genealogy,greek,Ῥαχάβ,user requested 2026-05-21 before result-producing prospective run
user_ruth_g,Ruth,christ_genealogy,greek,Ῥούθ,user requested 2026-05-21 before result-producing prospective run
user_bathsheba_g,Wife of Uriah,christ_genealogy,greek,Οὐρίου,user requested 2026-05-21 before result-producing prospective run
user_joseph_husband_mary_g,Joseph husband of Mary / Joseph of Arimathea,christ_genealogy,greek,Ἰωσήφ,user requested 2026-05-21 before result-producing prospective run
user_abraham_g,Abraham,christ_genealogy,greek,Ἀβραάμ,user requested 2026-05-21 before result-producing prospective run
user_isaac_g,Isaac,christ_genealogy,greek,Ἰσαάκ,user requested 2026-05-21 before result-producing prospective run
user_jacob_g,Jacob,christ_genealogy,greek,Ἰακώβ,user requested 2026-05-21 before result-producing prospective run
user_judah_g,Judah,christ_genealogy,greek,Ἰούδας,user requested 2026-05-21 before result-producing prospective run
user_perez_g,Perez,christ_genealogy,greek,Φαρές,user requested 2026-05-21 before result-producing prospective run
user_hezron_g,Hezron,christ_genealogy,greek,Ἑσρώμ,user requested 2026-05-21 before result-producing prospective run
user_ram_g,Ram,christ_genealogy,greek,Ἀράμ,user requested 2026-05-21 before result-producing prospective run
user_amminadab_g,Amminadab,christ_genealogy,greek,Ἀμιναδάβ,user requested 2026-05-21 before result-producing prospective run
user_nahshon_g,Nahshon,christ_genealogy,greek,Ναασσών,user requested 2026-05-21 before result-producing prospective run
user_salmon_g,Salmon,christ_genealogy,greek,Σαλμών,user requested 2026-05-21 before result-producing prospective run
user_boaz_g,Boaz,christ_genealogy,greek,Βοές,user requested 2026-05-21 before result-producing prospective run
user_obed_g,Obed,christ_genealogy,greek,Ἰωβήδ,user requested 2026-05-21 before result-producing prospective run
user_jesse_g,Jesse,christ_genealogy,greek,Ἰεσσαί,user requested 2026-05-21 before result-producing prospective run
user_david_g,David,christ_genealogy,greek,Δαυίδ,user requested 2026-05-21 before result-producing prospective run
user_solomon_g,Solomon,christ_genealogy,greek,Σολομών,user requested 2026-05-21 before result-producing prospective run
user_rehoboam_g,Rehoboam,christ_genealogy,greek,Ῥοβοάμ,user requested 2026-05-21 before result-producing prospective run
user_abijah_g,Abijah,christ_genealogy,greek,Ἀβιά,user requested 2026-05-21 before result-producing prospective run
user_asa_g,Asa,christ_genealogy,greek,Ἀσά,user requested 2026-05-21 before result-producing prospective run
user_jehoshaphat_g,Jehoshaphat,christ_genealogy,greek,Ἰωσαφάτ,user requested 2026-05-21 before result-producing prospective run
user_joram_g,Joram,christ_genealogy,greek,Ἰωράμ,user requested 2026-05-21 before result-producing prospective run
user_uzziah_g,Uzziah,christ_genealogy,greek,Ὀζίας,user requested 2026-05-21 before result-producing prospective run
user_jotham_g,Jotham,christ_genealogy,greek,Ἰωαθάμ,user requested 2026-05-21 before result-producing prospective run
user_ahaz_g,Ahaz,christ_genealogy,greek,Ἄχαζ,user requested 2026-05-21 before result-producing prospective run
user_hezekiah_g,Hezekiah,christ_genealogy,greek,Ἑζεκίας,user requested 2026-05-21 before result-producing prospective run
user_manasseh_g,Manasseh,christ_genealogy,greek,Μανασσῆς,user requested 2026-05-21 before result-producing prospective run
