term_id,concept,category,language,term,notes
user_martha_g,Martha,gospel_women,greek,Μάρθα,user requested 2026-05-21 before result-producing prospective run
user_salome_g,Salome,gospel_women,greek,Σαλώμη,user requested 2026-05-21 before result-producing prospective run
user_herodias_g,Herodias,gospel_women,greek,Ἡρῳδιάς,user requested 2026-05-21 before result-producing prospective run
user_tamar_g,Tamar,christ_genealogy,greek,Θάμαρ,user requested 2026-05-21 before result-producing prospective run
user_rahab_g,Rahab,christ_genealogy,greek,Ῥαχάβ,user requested 2026-05-21 before result-producing prospective run
user_bathsheba_g,Wife of Uriah,christ_genealogy,greek,Οὐρίου,user requested 2026-05-21 before result-producing prospective run
user_perez_g,Perez,christ_genealogy,greek,Φαρές,user requested 2026-05-21 before result-producing prospective run
user_hezron_g,Hezron,christ_genealogy,greek,Ἑσρώμ,user requested 2026-05-21 before result-producing prospective run
user_amminadab_g,Amminadab,christ_genealogy,greek,Ἀμιναδάβ,user requested 2026-05-21 before result-producing prospective run
user_nahshon_g,Nahshon,christ_genealogy,greek,Ναασσών,user requested 2026-05-21 before result-producing prospective run
user_salmon_g,Salmon,christ_genealogy,greek,Σαλμών,user requested 2026-05-21 before result-producing prospective run
user_obed_g,Obed,christ_genealogy,greek,Ἰωβήδ,user requested 2026-05-21 before result-producing prospective run
user_jesse_g,Jesse,christ_genealogy,greek,Ἰεσσαί,user requested 2026-05-21 before result-producing prospective run
user_rehoboam_g,Rehoboam,christ_genealogy,greek,Ῥοβοάμ,user requested 2026-05-21 before result-producing prospective run
user_jehoshaphat_g,Jehoshaphat,christ_genealogy,greek,Ἰωσαφάτ,user requested 2026-05-21 before result-producing prospective run
user_joram_g,Joram,christ_genealogy,greek,Ἰωράμ,user requested 2026-05-21 before result-producing prospective run
user_uzziah_g,Uzziah,christ_genealogy,greek,Ὀζίας,user requested 2026-05-21 before result-producing prospective run
user_jotham_g,Jotham,christ_genealogy,greek,Ἰωαθάμ,user requested 2026-05-21 before result-producing prospective run
user_zerubbabel_g,Zerubbabel,christ_genealogy,greek,Ζοροβάβελ,user requested 2026-05-21 before result-producing prospective run
user_abiud_g,Abiud,christ_genealogy,greek,Ἀβιούδ,user requested 2026-05-21 before result-producing prospective run
user_eliakim_genealogy_g,Eliakim,christ_genealogy,greek,Ἐλιακείμ,user requested 2026-05-21 before result-producing prospective run
user_zadok_g,Zadok,christ_genealogy,greek,Σαδώκ,user requested 2026-05-21 before result-producing prospective run
user_achim_g,Achim,christ_genealogy,greek,Ἀχείμ,user requested 2026-05-21 before result-producing prospective run
user_eliud_g,Eliud,christ_genealogy,greek,Ἐλιούδ,user requested 2026-05-21 before result-producing prospective run
user_eleazar_g,Eleazar,christ_genealogy,greek,Ἐλεάζαρ,user requested 2026-05-21 before result-producing prospective run
user_matthan_g,Matthan,christ_genealogy,greek,Ματθάν,user requested 2026-05-21 before result-producing prospective run
user_matthat_g,Matthat,christ_genealogy,greek,Ματθάτ,user requested 2026-05-21 before result-producing prospective run
user_melchi_g,Melchi,christ_genealogy,greek,Μελχί,user requested 2026-05-21 before result-producing prospective run
user_zachariah_g,Zachariah,gospel_people,greek,Ζαχαρίας,user requested 2026-05-21 before result-producing prospective run
user_lazarus_g,Lazarus,gospel_people,greek,Λάζαρος,user requested 2026-05-21 before result-producing prospective run
user_nicodemus_g,Nicodemus,gospel_people,greek,Νικόδημος,user requested 2026-05-21 before result-producing prospective run
user_caiaphas_g,Caiaphas,gospel_people,greek,Καϊάφας,user requested 2026-05-21 before result-producing prospective run
user_simon_cyrene_g,Simon of Cyrene,gospel_people,greek,Σίμων Κυρηναῖος,user requested 2026-05-21 before result-producing prospective run
user_cleopas_g,Cleopas,gospel_people,greek,Κλεοπᾶς,user requested 2026-05-21 before result-producing prospective run
user_zacchaeus_g,Zacchaeus,gospel_people,greek,Ζακχαῖος,user requested 2026-05-21 before result-producing prospective run
user_andrew_g,Andrew,disciples,greek,Ἀνδρέας,user requested 2026-05-21 before result-producing prospective run
user_philip_g,Philip,disciples,greek,Φίλιππος,user requested 2026-05-21 before result-producing prospective run
user_bartholomew_g,Bartholomew,disciples,greek,Βαρθολομαῖος,user requested 2026-05-21 before result-producing prospective run
user_matthew_g,Matthew,disciples,greek,Ματθαῖος,user requested 2026-05-21 before result-producing prospective run
user_thaddaeus_g,Thaddaeus,disciples,greek,Θαδδαῖος,user requested 2026-05-21 before result-producing prospective run
user_simon_zealot_g,Simon the Zealot,disciples,greek,Σίμων,user requested 2026-05-21 before result-producing prospective run
user_greek_term_008_g,λόγος,user_supplied_greek_terms,greek,λόγος,user requested 2026-05-21 before result-producing prospective run
user_greek_term_009_g,εὐαγγέλιον,user_supplied_greek_terms,greek,εὐαγγέλιον,user requested 2026-05-21 before result-producing prospective run
user_greek_term_010_g,ἀγάπη,user_supplied_greek_terms,greek,ἀγάπη,user requested 2026-05-21 before result-producing prospective run
user_greek_term_011_g,πίστις,user_supplied_greek_terms,greek,πίστις,user requested 2026-05-21 before result-producing prospective run
user_greek_term_014_g,χάρις,user_supplied_greek_terms,greek,χάρις,user requested 2026-05-21 before result-producing prospective run
user_greek_term_020_g,σοφία,user_supplied_greek_terms,greek,σοφία,user requested 2026-05-21 before result-producing prospective run
user_greek_term_023_g,ἀλήθεια,user_supplied_greek_terms,greek,ἀλήθεια,user requested 2026-05-21 before result-producing prospective run
user_greek_term_024_g,εἰρήνη,user_supplied_greek_terms,greek,εἰρήνη,user requested 2026-05-21 before result-producing prospective run
user_greek_term_025_g,ἐλπίς,user_supplied_greek_terms,greek,ἐλπίς,user requested 2026-05-21 before result-producing prospective run
user_greek_term_028_g,σωτηρία,user_supplied_greek_terms,greek,σωτηρία,user requested 2026-05-21 before result-producing prospective run
user_greek_term_030_g,ἔλεος,user_supplied_greek_terms,greek,ἔλεος,user requested 2026-05-21 before result-producing prospective run
user_greek_term_032_g,βασιλεία,user_supplied_greek_terms,greek,βασιλεία,user requested 2026-05-21 before result-producing prospective run
user_greek_term_033_g,βασιλεύς,user_supplied_greek_terms,greek,βασιλεύς,user requested 2026-05-21 before result-producing prospective run
user_greek_term_034_g,ἱερεύς,user_supplied_greek_terms,greek,ἱερεύς,user requested 2026-05-21 before result-producing prospective run
user_greek_term_037_g,θυσία,user_supplied_greek_terms,greek,θυσία,user requested 2026-05-21 before result-producing prospective run
user_greek_term_039_g,πρόβατον,user_supplied_greek_terms,greek,πρόβατον,user requested 2026-05-21 before result-producing prospective run
user_greek_term_040_g,ποιμήν,user_supplied_greek_terms,greek,ποιμήν,user requested 2026-05-21 before result-producing prospective run
user_greek_term_041_g,δοῦλος,user_supplied_greek_terms,greek,δοῦλος,user requested 2026-05-21 before result-producing prospective run
user_greek_term_043_g,πατήρ,user_supplied_greek_terms,greek,πατήρ,user requested 2026-05-21 before result-producing prospective run
