term_id,concept,category,language,term,notes
gpx_son_of_man_g,Son of Man,christology,greek,υιοςανθρωπου,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=son_of_man_g
gpx_law_g,Law,revelation,greek,νομος,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=law_g
gpx_covenant_g,Covenant,revelation,greek,διαθηκη,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=covenant_g
gpx_righteousness_g,Righteousness,ethics,greek,δικαιοσυνη,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=righteousness_g
gpx_darkness_g,Darkness,symbols,greek,σκοτος,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=darkness_g
gpx_apostle_g,Apostle,revelation,greek,αποστολος,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=apostle_g
gpx_moses_g,Moses,names,greek,μωυσης,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=moses_g
gpx_david_g,David,names,greek,δαυιδ,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=david_g
gpx_abraham_g,Abraham,names,greek,αβρααμ,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=abraham_g
gpx_israel_g,Israel,names,greek,ισραηλ,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=israel_g
gpx_jerusalem_g,Jerusalem,names,greek,ιερουσαλημ,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=jerusalem_g
gpx_zion_g,Zion,names,greek,σιων,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=zion_g
gpx_mary_g,Mary,names,greek,μαρια,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=mary_g
gpx_peter_g,Peter,names,greek,πετρος,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=peter_g
gpx_paul_g,Paul,names,greek,παυλος,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=paul_g
gpx_john_g,John,names,greek,ιωαννης,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=john_g
gpx_serpent_g,Serpent,evil,greek,οφις,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=serpent_g
gpx_soul_g,Soul,anthropology,greek,ψυχη,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=soul_g
gpx_heart_g,Heart,anthropology,greek,καρδια,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=heart_g
gpx_flesh_g,Flesh,anthropology,greek,σαρξ,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=flesh_g
gpx_sign_g,Sign,revelation,greek,σημειον,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=sign_g
gpx_day_of_lord_g,Day Of The Lord,prophetic,greek,ημερα κυριου,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=day_of_lord_g
gpx_heal_g,Heal,ministry,greek,θεραπευω,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=heal_g
gpx_demon_g,Demon,evil,greek,δαιμονιον,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=demon_g
gpx_disciple_g,Disciple,community,greek,μαθητης,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=disciple_g
gpx_church_g,Church,community,greek,εκκλησια,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=church_g
gpx_joseph_g,Joseph,names,greek,ιωσηφ,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=joseph_g
gpx_jacob_g,Jacob,names,greek,ιακωβ,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=jacob_g
gpx_sarah_g,Sarah,names,greek,σαρρα,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=sarah_g
gpx_adam_g,Adam,names,greek,αδαμ,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=adam_g
gpx_elijah_g,Elijah,names,greek,ηλιας,prospective expanded Greek exact-center cohort; source=theological_terms.csv; original_id=elijah_g
gpx_huios_tou_theou_gnt,Son Of God,core_names_titles,greek,Υἱός τοῦ Θεοῦ,prospective expanded Greek exact-center cohort; source=greek_nt_claim_terms.csv; original_id=huios_tou_theou_gnt; title phrase
gpx_amnos_tou_theou_gnt,Lamb Of God,core_names_titles,greek,Ἀμνὸς τοῦ Θεοῦ,prospective expanded Greek exact-center cohort; source=greek_nt_claim_terms.csv; original_id=amnos_tou_theou_gnt; title phrase
gpx_taphos_gnt,Tomb,key_concepts_events,greek,Τάφος,prospective expanded Greek exact-center cohort; source=greek_nt_claim_terms.csv; original_id=taphos_gnt; tomb term
gpx_analepsis_gnt,Ascension,key_concepts_events,greek,Ἀνάληψις,prospective expanded Greek exact-center cohort; source=greek_nt_claim_terms.csv; original_id=analepsis_gnt; ascension term
gpx_deutera_parousia_gnt,Second Coming,key_concepts_events,greek,Δευτέρα Παρουσία,prospective expanded Greek exact-center cohort; source=greek_nt_claim_terms.csv; original_id=deutera_parousia_gnt; second coming phrase
gpx_ioudas_gnt,Judas,people,greek,Ἰούδας,prospective expanded Greek exact-center cohort; source=greek_nt_claim_terms.csv; original_id=ioudas_gnt; person name
gpx_pilatos_gnt,Pilate,people,greek,Πιλᾶτος,prospective expanded Greek exact-center cohort; source=greek_nt_claim_terms.csv; original_id=pilatos_gnt; person name
gpx_iesous_christos_gnt,Jesus Christ,search_phrases,greek,Ἰησοῦς Χριστός,prospective expanded Greek exact-center cohort; source=greek_nt_claim_terms.csv; original_id=iesous_christos_gnt; phrase
gpx_iesous_kyrios_gnt,Jesus Lord,search_phrases,greek,Ἰησοῦς Κύριος,prospective expanded Greek exact-center cohort; source=greek_nt_claim_terms.csv; original_id=iesous_kyrios_gnt; phrase
gpx_amnos_theou_gnt,Lamb Of God,search_phrases,greek,Ἀμνὸς Θεοῦ,prospective expanded Greek exact-center cohort; source=greek_nt_claim_terms.csv; original_id=amnos_theou_gnt; shorter title phrase
gpx_aneste_gnt,He Is Risen,search_phrases,greek,Ἀνέστη,prospective expanded Greek exact-center cohort; source=greek_nt_claim_terms.csv; original_id=aneste_gnt; claimed phrase
gpx_erchetai_gnt,He Is Coming,search_phrases,greek,Ἔρχεται,prospective expanded Greek exact-center cohort; source=greek_nt_claim_terms.csv; original_id=erchetai_gnt; claimed phrase
gpx_babylon_g,Babylon,empires_places,greek,βαβυλων,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=babylon_g; biblical place and empire
gpx_persia_g,Persia,empires_places,greek,περσις,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=persia_g; biblical/historical name
gpx_persia_alt_g,Persia,empires_places,greek,περσια,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=persia_alt_g; common historical form
gpx_media_g,Media,empires_places,greek,μηδια,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=media_g; historical form
gpx_elam_g,Elam,empires_places,greek,ελαμ,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=elam_g; biblical name
gpx_assyria_g,Assyria,empires_places,greek,ασσυρια,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=assyria_g; historical form
gpx_egypt_g,Egypt,empires_places,greek,αιγυπτος,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=egypt_g; biblical name
gpx_rome_g,Rome,empires_places,greek,ρωμη,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=rome_g; biblical NT form
gpx_greece_g,Greece,empires_places,greek,ελλας,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=greece_g; biblical Greek form
gpx_edom_g,Edom,empires_places,greek,εδωμ,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=edom_g; biblical name
gpx_moab_g,Moab,empires_places,greek,μωαβ,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=moab_g; biblical name
gpx_ammon_g,Ammon,empires_places,greek,αμμων,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=ammon_g; biblical name
gpx_damascus_g,Damascus,empires_places,greek,δαμασκος,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=damascus_g; biblical name
gpx_tyre_g,Tyre,empires_places,greek,τυρος,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=tyre_g; biblical name
gpx_sidon_g,Sidon,empires_places,greek,σιδων,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=sidon_g; biblical name
gpx_cyrus_g,Cyrus,rulers_figures,greek,κυρος,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=cyrus_g; biblical ruler
gpx_darius_g,Darius,rulers_figures,greek,δαρειος,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=darius_g; biblical ruler
gpx_nebuchadnezzar_g,Nebuchadnezzar,rulers_figures,greek,ναβουχοδονοσορ,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=nebuchadnezzar_g; biblical ruler
gpx_magog_g,Magog,rulers_figures,greek,μαγωγ,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=magog_g; Ezekiel and Revelation motif
gpx_horn_g,Horn,apocalyptic_symbols,greek,κερας,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=horn_g; Daniel/Revelation motif
gpx_image_g,Image,apocalyptic_symbols,greek,εικων,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=image_g; Daniel/Revelation motif
gpx_mark_g,Mark,apocalyptic_symbols,greek,χαραγμα,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=mark_g; Revelation mark term
gpx_number_g,Number,apocalyptic_symbols,greek,αριθμος,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=number_g; declared numeric motif term
gpx_trumpet_g,Trumpet,apocalyptic_symbols,greek,σαλπιγξ,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=trumpet_g; trumpet motif
gpx_witness_g,Witness,apocalyptic_symbols,greek,μαρτυς,prospective expanded Greek exact-center cohort; source=prophetic_terms.csv; original_id=witness_g; witness motif
