term_id,concept,category,language,term,notes
torah_h,Torah,core_foundational,hebrew,תורה,core term
israel_h,Israel,core_foundational,hebrew,ישראל,core term
yhwh_h,YHWH,core_foundational,hebrew,יהוה,divine name
messiah_h,Messiah,core_foundational,hebrew,משיח,core term
yeshua_h,Yeshua,core_foundational,hebrew,ישוע,Jesus related spelling
rambam_h,Rambam,rabbinic_names,hebrew,רמב״ם,Maimonides abbreviation
vilna_gaon_h,Vilna Gaon,rabbinic_names,hebrew,גאון וילנא,
maharal_h,Maharal,rabbinic_names,hebrew,מהר״ל,Prague rabbi abbreviation
ramban_h,Ramban,rabbinic_names,hebrew,רמב״ן,Nachmanides abbreviation
rokeach_h,Rokeach,rabbinic_names,hebrew,רוקח,
rabin_h,Yitzhak Rabin,historical_modern,hebrew,רבין,
yitzhak_rabin_h,Yitzhak Rabin,historical_modern,hebrew,יצחק רבין,
rabin_assassinated_h,Rabin Assassinated,historical_modern,hebrew,רבין נרצח,
hitler_h,Hitler,historical_modern,hebrew,היטלר,
hitler_wicked_h,Hitler Wicked,historical_modern,hebrew,היטלר רשע,
shoah_h,Shoah,historical_modern,hebrew,שואה,
bin_laden_h,Bin Laden,historical_modern,hebrew,בן לאדן,
cursed_bin_laden_h,Cursed Bin Laden,historical_modern,hebrew,קללה לבן לאדן,
atomic_holocaust_h,Atomic Holocaust,historical_modern,hebrew,הולוקוסט אטומי,
armageddon_h,Armageddon,historical_modern,hebrew,ארמגדון,
world_war_h,World War,historical_modern,hebrew,מלחמת עולם,
obama_h,Obama,historical_modern,hebrew,אובמה,
trump_h,Trump,historical_modern,hebrew,טראמפ,
bush_h,Bush,historical_modern,hebrew,בוש,
kennedy_h,Kennedy,historical_modern,hebrew,קנדי,
churchill_h,Churchill,historical_modern,hebrew,צ׳רצ׳יל,
einstein_h,Einstein,historical_modern,hebrew,איינשטיין,
newton_h,Newton,historical_modern,hebrew,ניוטון,
sadat_h,Sadat,historical_modern,hebrew,סדאת,
aids_h,AIDS,historical_modern,hebrew,איידס,
airplane_h,Airplane,historical_modern,hebrew,מטוס,
twin_towers_single_h,Twin Towers,historical_modern,hebrew,תאומים,
twin_towers_h,Twin Towers,historical_modern,hebrew,מגדלים תאומים,
twin_towers_alt_h,Twin Towers,historical_modern,hebrew,מגדלי תאומים,
world_trade_center_h,World Trade Center,historical_modern,hebrew,מרכז הסחר העולמי,
war_h,War,historical_modern,hebrew,מלחמה,
destruction_h,Destruction,historical_modern,hebrew,הרס,
destruction_call_you_h,Destruction I Will Call You,historical_modern,hebrew,הרס אקרא לך,
all_his_people_to_war_h,All His People To War,historical_modern,hebrew,כל עמו למלחמה,
near_past_h,Recent Past,historical_modern,hebrew,העבר הקרוב,
netanyahu_h,Netanyahu,modern_leaders_events,hebrew,נתניהו,
netanyahu_won_h,Netanyahu Won,modern_leaders_events,hebrew,נתניהו ניצח,
sharon_h,Sharon,modern_leaders_events,hebrew,שרון,
peres_h,Peres,modern_leaders_events,hebrew,פרס,
reagan_h,Reagan,modern_leaders_events,hebrew,רייגן,
clinton_h,Clinton,modern_leaders_events,hebrew,קלינטון,
biden_h,Biden,modern_leaders_events,hebrew,ביידן,
hamas_h,Hamas,modern_leaders_events,hebrew,חמאס,
hezbollah_h,Hezbollah,modern_leaders_events,hebrew,חיזבאללה,
barak_h,Barak,modern_leaders_events,hebrew,ברק,
olmert_h,Olmert,modern_leaders_events,hebrew,אולמרט,
lieberman_h,Lieberman,modern_leaders_events,hebrew,ליברמן,
gantz_h,Gantz,modern_leaders_events,hebrew,גנץ,
ani_yeshua_h,I Am Jesus,jesus_messianic_phrases,hebrew,אני ישוע,
yeshua_hanged_h,Jesus Will Be Hanged,jesus_messianic_phrases,hebrew,ישוע יתלה,
yeshu_declared_perfect_h,Jesus Declared Perfect,jesus_messianic_phrases,hebrew,הצהר ישו מושלם,preserved from supplied wording
yeshua_crucified_h,Jesus Crucified,jesus_messianic_phrases,hebrew,ישוע נצלב,
yeshua_perfect_h,Jesus Perfect,jesus_messianic_phrases,hebrew,ישוע מושלם,
yeshua_worthy_h,Jesus Worthy,jesus_messianic_phrases,hebrew,ישוע ראוי,
yeshua_return_h,Jesus Will Return,jesus_messianic_phrases,hebrew,ישוע יחזור,
blood_yeshua_h,Blood Of Jesus,jesus_messianic_phrases,hebrew,דם ישוע,
yeshua_messiah_h,Yeshua Messiah,jesus_messianic_phrases,hebrew,ישוע המשיח,
son_of_god_h,Son Of God,jesus_messianic_phrases,hebrew,בן האלוהים,
