term_id,concept,category,language,term,notes
moichalis_fc1_g,Adulteress frequency control 1,pericope_frequency_control,greek,σαββατον,target=moichalis_g; source=biblical_festivals.csv:sabbath_g; normalized_length=8; target_tr_hits=0; control_tr_hits=0
moichalis_fc2_g,Adulteress frequency control 2,pericope_frequency_control,greek,βαρναβας,target=moichalis_g; source=biblical_narrative_names.csv:narrative_barnabas_g; normalized_length=8; target_tr_hits=0; control_tr_hits=0
moichalis_fc3_g,Adulteress frequency control 3,pericope_frequency_control,greek,ματθαιος,target=moichalis_g; source=biblical_narrative_names.csv:narrative_matthew_g; normalized_length=8; target_tr_hits=0; control_tr_hits=0
moichalis_fc4_g,Adulteress frequency control 4,pericope_frequency_control,greek,φιλιππος,target=moichalis_g; source=biblical_narrative_names.csv:narrative_philip_g; normalized_length=8; target_tr_hits=0; control_tr_hits=0
moichalis_fc5_g,Adulteress frequency control 5,pericope_frequency_control,greek,στεφανος,target=moichalis_g; source=biblical_narrative_names.csv:narrative_stephen_g; normalized_length=8; target_tr_hits=0; control_tr_hits=0
moicheuo_fc1_g,Commit Adultery frequency control 1,pericope_frequency_control,greek,ανδρεας,target=moicheuo_g; source=biblical_narrative_names.csv:narrative_andrew_g; normalized_length=7; target_tr_hits=0; control_tr_hits=0
moicheuo_fc2_g,Commit Adultery frequency control 2,pericope_frequency_control,greek,καιαφας,target=moicheuo_g; source=biblical_narrative_names.csv:narrative_caiaphas_g; normalized_length=7; target_tr_hits=0; control_tr_hits=0
moicheuo_fc3_g,Commit Adultery frequency control 3,pericope_frequency_control,greek,ιακωβος,target=moicheuo_g; source=biblical_narrative_names.csv:narrative_james_g; normalized_length=7; target_tr_hits=0; control_tr_hits=0
moicheuo_fc4_g,Commit Adultery frequency control 4,pericope_frequency_control,greek,λαζαρος,target=moicheuo_g; source=biblical_narrative_names.csv:narrative_lazarus_g; normalized_length=7; target_tr_hits=0; control_tr_hits=0
moicheuo_fc5_g,Commit Adultery frequency control 5,pericope_frequency_control,greek,ρεβεκκα,target=moicheuo_g; source=biblical_narrative_names.csv:narrative_rebekah_g; normalized_length=7; target_tr_hits=0; control_tr_hits=0
kategoros_fc1_g,Accuser frequency control 1,pericope_frequency_control,greek,αλληλουια,target=kategoros_g; source=cosmic_codes_claim_terms.csv:cc_hallelujah_g; normalized_length=9; target_tr_hits=0; control_tr_hits=0
kategoros_fc2_g,Accuser frequency control 2,pericope_frequency_control,greek,αναστασις,target=kategoros_g; source=greek_exact_center_cohort_terms.csv:resurrection_gxc; normalized_length=9; target_tr_hits=0; control_tr_hits=0
kategoros_fc3_g,Accuser frequency control 3,pericope_frequency_control,greek,Ἀμνὸς Θεοῦ,target=kategoros_g; source=greek_expanded_prospective_terms.csv:gpx_amnos_theou_gnt; normalized_length=9; target_tr_hits=0; control_tr_hits=0
kategoros_fc4_g,Accuser frequency control 4,pericope_frequency_control,greek,αμορραιον,target=kategoros_g; source=greek_expanded_prospective_terms.csv:gpx_amorite_g; normalized_length=9; target_tr_hits=0; control_tr_hits=0
kategoros_fc5_g,Accuser frequency control 5,pericope_frequency_control,greek,αντιοχεια,target=kategoros_g; source=greek_expanded_prospective_terms.csv:gpx_antioch_g; normalized_length=9; target_tr_hits=0; control_tr_hits=0
katigoreo_fc1_g,Accuse frequency control 1,pericope_frequency_control,greek,αποστολος,target=katigoreo_g; source=greek_expanded_prospective_terms.csv:gpx_apostle_g; normalized_length=9; target_tr_hits=0; control_tr_hits=0
katigoreo_fc2_g,Accuse frequency control 2,pericope_frequency_control,greek,αρουκαιον,target=katigoreo_g; source=greek_expanded_prospective_terms.csv:gpx_arkite_g; normalized_length=9; target_tr_hits=0; control_tr_hits=0
katigoreo_fc3_g,Accuse frequency control 3,pericope_frequency_control,greek,αρμαγεδων,target=katigoreo_g; source=greek_expanded_prospective_terms.csv:gpx_armageddon_g; normalized_length=9; target_tr_hits=0; control_tr_hits=0
katigoreo_fc4_g,Accuse frequency control 4,pericope_frequency_control,greek,δαιμονιον,target=katigoreo_g; source=greek_expanded_prospective_terms.csv:gpx_demon_g; normalized_length=9; target_tr_hits=0; control_tr_hits=0
katigoreo_fc5_g,Accuse frequency control 5,pericope_frequency_control,greek,ελισσαιος,target=katigoreo_g; source=greek_expanded_prospective_terms.csv:gpx_elisha_g; normalized_length=9; target_tr_hits=0; control_tr_hits=0
lithos_fc1_g,Stone frequency control 1,pericope_frequency_control,greek,πασχα,target=lithos_g; source=biblical_festivals.csv:pesach_g; normalized_length=5; target_tr_hits=14; control_tr_hits=14
lithos_fc2_g,Stone frequency control 2,pericope_frequency_control,greek,τωβιτ,target=lithos_g; source=maccabean_apocrypha_names.csv:macc_tobit_g; normalized_length=5; target_tr_hits=14; control_tr_hits=14
lithos_fc3_g,Stone frequency control 3,pericope_frequency_control,greek,αγαπη,target=lithos_g; source=greek_exact_center_cohort_terms.csv:love_gxc; normalized_length=5; target_tr_hits=14; control_tr_hits=15
lithos_fc4_g,Stone frequency control 4,pericope_frequency_control,greek,σωτηρ,target=lithos_g; source=greek_exact_center_cohort_terms.csv:savior_gxc; normalized_length=5; target_tr_hits=14; control_tr_hits=15
lithos_fc5_g,Stone frequency control 5,pericope_frequency_control,greek,δαυιδ,target=lithos_g; source=greek_expanded_prospective_terms.csv:gpx_david_g; normalized_length=5; target_tr_hits=14; control_tr_hits=15
lithazo_fc1_g,Stone Verb frequency control 1,pericope_frequency_control,greek,απαρχη,target=lithazo_g; source=biblical_festivals.csv:firstfruits_g; normalized_length=6; target_tr_hits=0; control_tr_hits=0
