term_id,concept,category,language,term,notes
moichalis_lc1,Length Control 8,pericope_length_control,greek,αβγδεζηθ,length-matched control for moichalis_g
moichalis_lc2,Length Control 8,pericope_length_control,greek,ικλμνξοπ,length-matched control for moichalis_g
moichalis_lc3,Length Control 8,pericope_length_control,greek,ρστυφχψω,length-matched control for moichalis_g
moichalis_lc4,Length Control 8,pericope_length_control,greek,βδεζηθικ,length-matched control for moichalis_g
moichalis_lc5,Length Control 8,pericope_length_control,greek,λμνξοπρσ,length-matched control for moichalis_g
moicheuo_lc1,Length Control 7,pericope_length_control,greek,αβγδεζη,length-matched control for moicheuo_g
moicheuo_lc2,Length Control 7,pericope_length_control,greek,θικλμνξ,length-matched control for moicheuo_g
moicheuo_lc3,Length Control 7,pericope_length_control,greek,οπρστυφ,length-matched control for moicheuo_g
moicheuo_lc4,Length Control 7,pericope_length_control,greek,χψωαβγδ,length-matched control for moicheuo_g
moicheuo_lc5,Length Control 7,pericope_length_control,greek,εζηθικλ,length-matched control for moicheuo_g
kategoros_lc1,Length Control 9,pericope_length_control,greek,αβγδεζηθι,length-matched control for kategoros_g
kategoros_lc2,Length Control 9,pericope_length_control,greek,κλμνξοπρσ,length-matched control for kategoros_g
kategoros_lc3,Length Control 9,pericope_length_control,greek,τυφχψωαβγ,length-matched control for kategoros_g
kategoros_lc4,Length Control 9,pericope_length_control,greek,δεζηθικλμ,length-matched control for kategoros_g
kategoros_lc5,Length Control 9,pericope_length_control,greek,νξοπρστυφ,length-matched control for kategoros_g
katigoreo_lc1,Length Control 9,pericope_length_control,greek,βγδεζηθικ,length-matched control for katigoreo_g
katigoreo_lc2,Length Control 9,pericope_length_control,greek,λμνξοπρστ,length-matched control for katigoreo_g
katigoreo_lc3,Length Control 9,pericope_length_control,greek,υφχψωαβγδ,length-matched control for katigoreo_g
katigoreo_lc4,Length Control 9,pericope_length_control,greek,εζηθικλμν,length-matched control for katigoreo_g
katigoreo_lc5,Length Control 9,pericope_length_control,greek,ξοπρστυφχ,length-matched control for katigoreo_g
lithos_lc1,Length Control 5,pericope_length_control,greek,αβγδε,length-matched control for lithos_g
lithos_lc2,Length Control 5,pericope_length_control,greek,ζηθικ,length-matched control for lithos_g
