term_id,concept,category,language,term,notes
babylon_h,Babylon,empires_places,hebrew,בבל,biblical place and empire
babylon_g,Babylon,empires_places,greek,βαβυλων,biblical place and empire
persia_h,Persia,empires_places,hebrew,פרס,biblical/historical name
persia_g,Persia,empires_places,greek,περσις,biblical/historical name
persia_alt_g,Persia,empires_places,greek,περσια,common historical form
media_h,Media,empires_places,hebrew,מדי,biblical Madai/Media spelling
media_g,Media,empires_places,greek,μηδια,historical form
elam_h,Elam,empires_places,hebrew,עילם,biblical name
elam_g,Elam,empires_places,greek,ελαμ,biblical name
assyria_h,Assyria,empires_places,hebrew,אשור,biblical name
assyria_g,Assyria,empires_places,greek,ασσυρια,historical form
egypt_h,Egypt,empires_places,hebrew,מצרים,biblical name
egypt_g,Egypt,empires_places,greek,αιγυπτος,biblical name
rome_h,Rome,empires_places,hebrew,רומי,transliteration for Rome
rome_g,Rome,empires_places,greek,ρωμη,biblical NT form
greece_h,Greece,empires_places,hebrew,יון,biblical Javan/Greece link
greece_g,Greece,empires_places,greek,ελλας,biblical Greek form
edom_h,Edom,empires_places,hebrew,אדום,biblical name
edom_g,Edom,empires_places,greek,εδωμ,biblical name
moab_h,Moab,empires_places,hebrew,מואב,biblical name
moab_g,Moab,empires_places,greek,μωαβ,biblical name
ammon_h,Ammon,empires_places,hebrew,עמון,biblical name
ammon_g,Ammon,empires_places,greek,αμμων,biblical name
damascus_h,Damascus,empires_places,hebrew,דמשק,biblical name
damascus_g,Damascus,empires_places,greek,δαμασκος,biblical name
tyre_h,Tyre,empires_places,hebrew,צר,biblical name
tyre_g,Tyre,empires_places,greek,τυρος,biblical name
sidon_h,Sidon,empires_places,hebrew,צידון,biblical name
sidon_g,Sidon,empires_places,greek,σιδων,biblical name
jerusalem_h,Jerusalem,empires_places,hebrew,ירושלים,biblical center
jerusalem_g,Jerusalem,empires_places,greek,ιερουσαλημ,biblical center
zion_h,Zion,empires_places,hebrew,ציון,biblical center
zion_g,Zion,empires_places,greek,σιων,biblical center
cyrus_h,Cyrus,rulers_figures,hebrew,כורש,biblical ruler
cyrus_g,Cyrus,rulers_figures,greek,κυρος,biblical ruler
darius_h,Darius,rulers_figures,hebrew,דריוש,biblical ruler
darius_g,Darius,rulers_figures,greek,δαρειος,biblical ruler
nebuchadnezzar_h,Nebuchadnezzar,rulers_figures,hebrew,נבוכדנצר,biblical ruler
nebuchadnezzar_g,Nebuchadnezzar,rulers_figures,greek,ναβουχοδονοσορ,biblical ruler
gog_h,Gog,rulers_figures,hebrew,גוג,Ezekiel and Revelation motif
gog_g,Gog,rulers_figures,greek,γωγ,Ezekiel and Revelation motif
magog_h,Magog,rulers_figures,hebrew,מגוג,Ezekiel and Revelation motif
magog_g,Magog,rulers_figures,greek,μαγωγ,Ezekiel and Revelation motif
beast_h,Beast,apocalyptic_symbols,hebrew,חיה,Daniel/Revelation motif
beast_g,Beast,apocalyptic_symbols,greek,θηριον,Daniel/Revelation motif
dragon_h,Dragon,apocalyptic_symbols,hebrew,תנין,Hebrew sea monster/dragon term
dragon_g,Dragon,apocalyptic_symbols,greek,δρακων,Revelation motif
horn_h,Horn,apocalyptic_symbols,hebrew,קרן,Daniel motif
horn_g,Horn,apocalyptic_symbols,greek,κερας,Daniel/Revelation motif
image_h,Image,apocalyptic_symbols,hebrew,צלם,Daniel/Revelation motif
image_g,Image,apocalyptic_symbols,greek,εικων,Daniel/Revelation motif
mark_h,Mark,apocalyptic_symbols,hebrew,תו,Ezekiel mark term
mark_g,Mark,apocalyptic_symbols,greek,χαραγμα,Revelation mark term
number_h,Number,apocalyptic_symbols,hebrew,מספר,declared numeric motif term
number_g,Number,apocalyptic_symbols,greek,αριθμος,declared numeric motif term
seal_h,Seal,apocalyptic_symbols,hebrew,חותם,seal motif
seal_g,Seal,apocalyptic_symbols,greek,σφραγις,seal motif
trumpet_h,Trumpet,apocalyptic_symbols,hebrew,שופר,trumpet motif
trumpet_g,Trumpet,apocalyptic_symbols,greek,σαλπιγξ,trumpet motif
witness_h,Witness,apocalyptic_symbols,hebrew,עד,witness motif
witness_g,Witness,apocalyptic_symbols,greek,μαρτυς,witness motif
antichrist_g,Antichrist,apocalyptic_figures,greek,αντιχριστος,NT term
false_prophet_h,False Prophet,apocalyptic_figures,hebrew,נביאשקר,compound normalized
false_prophet_g,False Prophet,apocalyptic_figures,greek,ψευδοπροφητης,NT term
lawlessness_h,Lawlessness,judgment_terms,hebrew,און,broad Hebrew iniquity term
lawlessness_g,Lawlessness,judgment_terms,greek,ανομια,NT term
abomination_h,Abomination,judgment_terms,hebrew,שקוץ,Daniel motif
abomination_g,Abomination,judgment_terms,greek,βδελυγμα,Daniel/NT motif
desolation_h,Desolation,judgment_terms,hebrew,שממה,Daniel motif
desolation_g,Desolation,judgment_terms,greek,ερημωσις,Daniel/NT motif
wrath_h,Wrath,judgment_terms,hebrew,אף,wrath motif
wrath_g,Wrath,judgment_terms,greek,οργη,wrath motif
judgment_h,Judgment,judgment_terms,hebrew,משפט,judgment motif
judgment_g,Judgment,judgment_terms,greek,κρισις,judgment motif
tribulation_h,Tribulation,judgment_terms,hebrew,צרה,tribulation/distress motif
tribulation_g,Tribulation,judgment_terms,greek,θλιψις,tribulation/distress motif
famine_h,Famine,judgment_terms,hebrew,רעב,judgment motif
famine_g,Famine,judgment_terms,greek,λιμος,judgment motif
war_h,War,judgment_terms,hebrew,מלחמה,war motif
war_g,War,judgment_terms,greek,πολεμος,war motif
sword_h,Sword,judgment_terms,hebrew,חרב,judgment motif
sword_g,Sword,judgment_terms,greek,ρομφαια,judgment motif
vision_h,Vision,revelation_terms,hebrew,חזון,revelation/prophecy term
vision_g,Vision,revelation_terms,greek,ορασις,revelation/prophecy term
revelation_h,Revelation,revelation_terms,hebrew,גלה,reveal root
